Name,Item,Date
Kypton,500 Gold | Handful of Gold,8/20/22
Kechbatron,€10 Gift Card,8/20/22
rxqhi,5x Premium Crate Key Practice,8/20/22
Aayush1_YT,"2,500 Gold | Stack of Gold",8/20/22
MelissaPlayzz,GKit Custom Enchants Dream,8/20/22
wintercult,Crystal 30 Days Minigames,8/20/22
MelissaPlayzz,Fix (/fix hand) Dream,8/20/22
SumoGod69,Gladiator KitPvP,8/20/22
MelissaPlayzz,SkyVIP Dream,8/20/22
CornBirdd,"1,200 Gold | Pile of Gold",8/20/22
Aayush1_YT,"2,500 Gold | Stack of Gold",8/20/22
MelissaPlayzz,GKit Custom Enchants Dream,8/20/22
purpleslurpz,500 Gold | Handful of Gold,8/20/22
TwitterBot,"6,500 Gold | Large Stack of Gold",8/20/22
UpperGround,Designer Creative,8/20/22
TwitterBot,500 Gold | Handful of Gold,8/20/22
Swervinng,3x Premium Crate Key Practice,8/20/22
CornBirdd,"1,200 Gold | Pile of Gold",8/20/22
ThatWierdGuy,500 Gold | Handful of Gold,8/21/22
Kypton,"1,200 Gold | Pile of Gold",8/21/22
ThatWierdGuy,500 Gold | Handful of Gold,8/21/22
N0tSerious,"2,500 Gold | Stack of Gold",8/21/22
liam2783,Crystal 30 Days Minigames,8/21/22
liam2783,Crystal 30 Days Minigames,8/21/22
Saquer,"4,250 Gold | Stack of Gold",8/21/22
LiveMax,"14,000 Gold | Chest of Gold",8/21/22
LiveMax,"14,000 Gold | Chest of Gold",8/21/22
BiezPiens,1x Reset Loot Crate Immortal,8/21/22
ThatWierdGuy,"2,500 Gold | Stack of Gold",8/21/22
ShinyPikachu,Gold Minigames,8/21/22
LiveMax,"6,500 Gold | Large Stack of Gold",8/21/22
7rf,"1,200 Gold | Pile of Gold",8/21/22
Odelon,"14,000 Gold | Chest of Gold",8/21/22
SakiDakiKawasaki,"4,250 Gold | Stack of Gold",8/21/22
SakiDakiKawasaki,"1,200 Gold | Pile of Gold",8/21/22
strumf97,"2,500 Gold | Stack of Gold",8/21/22
strumf97,"4,250 Gold | Stack of Gold",8/21/22
LiveMax,"6,500 Gold | Large Stack of Gold",8/21/22
benjo2,500 Gold | Handful of Gold,8/21/22
kidifi,"2,500 Gold | Stack of Gold",8/21/22
kidifi,"4,250 Gold | Stack of Gold",8/21/22
